NOMBRE;RESPONSABLE;FECHA LIMITE;ESTADO;PRIORIDAD;COMENTARIO;NOTAS
Tarea1;Daniel;14/05/2024;PENDIENTE;ALTA;REALIZAR CRUD;Notas tarea 1
Tarea2;Daniel;15/05/2024;PENDIENTE;MEDIA;IMPLEMENTAR FUNCIONALIDAD;Notas tarea 2
Tarea3;Daniel;16/05/2024;EN PROGRESO;BAJA;OPTIMIZAR RENDIMIENTO;Notas tarea 3
Tarea4;Daniel;17/05/2024;COMPLETADA;ALTA;RESOLVER BUGS;Notas tarea 4
Tarea5;Daniel;18/05/2024;PENDIENTE;ALTA;DISEÑAR INTERFAZ;Notas tarea 5
Tarea6;Daniel;19/05/2024;EN PROGRESO;MEDIA;TESTEAR NUEVAS FUNCIONALIDADES;Notas tarea 6
Tarea7;Daniel;20/05/2024;PENDIENTE;BAJA;ACTUALIZAR DOCUMENTACIÓN;Notas tarea 7
Tarea8;Daniel;21/05/2024;COMPLETADA;ALTA;OPTIMIZAR CÓDIGO;Notas tarea 8
Tarea9;Daniel;22/05/2024;PENDIENTE;ALTA;SOLUCIONAR CONFLICTOS;Notas tarea 9
Tarea10;Daniel;23/05/2024;EN PROGRESO;MEDIA;REVISAR REQUERIMIENTOS;Notas tarea 10
Tarea11;Daniel;24/05/2024;PENDIENTE;BAJA;MEJORAR EXPERIENCIA DE USUARIO;Notas tarea 11
Tarea12;Daniel;25/05/2024;COMPLETADA;ALTA;IMPLEMENTAR SEGURIDAD;Notas tarea 12
Tarea13;Daniel;26/05/2024;PENDIENTE;ALTA;AJUSTAR ESTILOS;Notas tarea 13
Tarea14;Daniel;27/05/2024;EN PROGRESO;MEDIA;PROBAR COMPATIBILIDAD;Notas tarea 14
Tarea15;Daniel;28/05/2024;PENDIENTE;BAJA;OPTIMIZAR BASE DE DATOS;Notas tarea 15
Tarea16;Daniel;29/05/2024;COMPLETADA;ALTA;SOLUCIONAR ERRORES DE DEPENDECIA;Notas tarea 16
Tarea17;Daniel;30/05/2024;PENDIENTE;ALTA;AGREGAR LOGGING;Notas tarea 17
Tarea18;Daniel;31/05/2024;EN PROGRESO;MEDIA;ANALIZAR RENDIMIENTO;Notas tarea 18
Tarea19;Daniel;01/06/2024;PENDIENTE;BAJA;REVISAR COMPATIBILIDAD;Notas tarea 19
Tarea20;Daniel;02/06/2024;COMPLETADA;ALTA;MEJORAR SEGURIDAD;Notas tarea 20
Tarea21;Daniel;03/06/2024;PENDIENTE;ALTA;ACTUALIZAR PLUGINS;Notas tarea 21
Tarea22;Daniel;04/06/2024;EN PROGRESO;MEDIA;DESARROLLAR NUEVA CARACTERÍSTICA;Notas tarea 22
Tarea23;Daniel;05/06/2024;PENDIENTE;BAJA;OPTIMIZAR USABILIDAD;Notas tarea 23
Tarea24;Daniel;06/06/2024;COMPLETADA;ALTA;RESOLVER CONFLICTOS DE VERSIONES;Notas tarea 24
Tarea25;Daniel;07/06/2024;PENDIENTE;ALTA;REVISAR REQUISITOS;Notas tarea 25
Tarea26;Daniel;08/06/2024;EN PROGRESO;MEDIA;REALIZAR PRUEBAS DE ACEPTACIÓN;Notas tarea 26
Tarea27;Daniel;09/06/2024;PENDIENTE;BAJA;ACTUALIZAR FRAMEWORKS;Notas tarea 27
Tarea28;Daniel;10/06/2024;COMPLETADA;ALTA;OPTIMIZAR ALGORITMOS;Notas tarea 28
Tarea29;Daniel;11/06/2024;PENDIENTE;ALTA;SOLUCIONAR ERRORES CRÍTICOS;Notas tarea 29
Tarea30;Daniel;12/06/2024;EN PROGRESO;MEDIA;REVISAR ARQUITECTURA;Notas tarea 30
Tarea31;Daniel;13/06/2024;PENDIENTE;BAJA;MEJORAR DOCUMENTACIÓN;Notas tarea 31
Tarea32;Daniel;14/06/2024;COMPLETADA;ALTA;IMPLEMENTAR NUEVAS FUNCIONES;Notas tarea 32
Tarea33;Daniel;15/06/2024;PENDIENTE;ALTA;AJUSTAR CONFIGURACIONES;Notas tarea 33
Tarea34;Daniel;16/06/2024;EN PROGRESO;MEDIA;PROBAR INTEGRACIÓN;Notas tarea 34
Tarea35;Daniel;17/06/2024;PENDIENTE;BAJA;ANALIZAR SEGURIDAD;Notas tarea 35
Tarea36;Daniel;18/06/2024;COMPLETADA;ALTA;MEJORAR RENDIMIENTO;Notas tarea 36
Tarea37;Daniel;19/06/2024;PENDIENTE;ALTA;ACTUALIZAR DEPENDENCIAS;Notas tarea 37
Tarea38;Daniel;20/06/2024;EN PROGRESO;MEDIA;DESARROLLAR PLUGINS;Notas tarea 38
Tarea39;Daniel;21/06/2024;PENDIENTE;BAJA;OPTIMIZAR CÓDIGO LEGADO;Notas tarea 39
Tarea40;Daniel;22/06/2024;COMPLETADA;ALTA;SOLUCIONAR PROBLEMAS DE SEGURIDAD;Notas tarea 40
Tarea41;Daniel;23/06/2024;PENDIENTE;ALTA;REVISAR ERRORES;Notas tarea 41
Tarea42;Daniel;24/06/2024;EN PROGRESO;MEDIA;IMPLEMENTAR MEJORAS;Notas tarea 42
Tarea43;Daniel;25/06/2024;PENDIENTE;BAJA;ACTUALIZAR FRAMEWORKS;Notas tarea 43
Tarea44;Daniel;26/06/2024;COMPLETADA;ALTA;OPTIMIZAR INTERFAZ;Notas tarea 44
Tarea45;Daniel;27/06/2024;PENDIENTE;ALTA;SOLUCIONAR BUGS CRÍTICOS;Notas tarea 45
Tarea46;Daniel;28/06/2024;EN PROGRESO;MEDIA;MEJORAR USABILIDAD;Notas tarea 46
Tarea47;Daniel;29/06/2024;PENDIENTE;BAJA;REVISAR DOCUMENTACIÓN;Notas tarea 47
Tarea48;Daniel;30/06/2024;COMPLETADA;ALTA;AJUSTAR CONFIGURACIONES DE SEGURIDAD;Notas tarea 48
Tarea49;Daniel;01/07/2024;PENDIENTE;ALTA;ACTUALIZAR LIBRERÍAS;Notas tarea 49
Tarea50;Daniel;02/07/2024;EN PROGRESO;MEDIA;ANALIZAR REQUERIMIENTOS;Notas tarea 50
Tarea51;Daniel;03/07/2024;PENDIENTE;BAJA;PROBAR COMPATIBILIDAD;Notas tarea 51
Tarea52;Daniel;04/07/2024;COMPLETADA;ALTA;OPTIMIZAR BASE DE DATOS;Notas tarea 52
Tarea53;Daniel;05/07/2024;PENDIENTE;ALTA;RESOLVER ERRORES DE DEPENDENCIA;Notas tarea 53
Tarea54;Daniel;06/07/2024;EN PROGRESO;MEDIA;AGREGAR FUNCIONALIDADES;Notas tarea 54
Tarea55;Daniel;07/07/2024;PENDIENTE;BAJA;REVISAR RENDIMIENTO;Notas tarea 55
Tarea56;Daniel;08/07/2024;COMPLETADA;ALTA;MEJORAR SEGURIDAD;Notas tarea 56
Tarea57;Daniel;09/07/2024;PENDIENTE;ALTA;DESARROLLAR NUEVAS CARACTERÍSTICAS;Notas tarea 57
Tarea58;Daniel;10/07/2024;EN PROGRESO;MEDIA;OPTIMIZAR USABILIDAD;Notas tarea 58
Tarea59;Daniel;11/07/2024;PENDIENTE;BAJA;ACTUALIZAR DOCUMENTACIÓN;Notas tarea 59
Tarea60;Daniel;12/07/2024;COMPLETADA;ALTA;REVISAR CODIFICACIÓN;Notas tarea 60
Tarea61;Daniel;13/07/2024;PENDIENTE;ALTA;IMPLEMENTAR MEJORAS DE RENDIMIENTO;Notas tarea 61
Tarea62;Daniel;14/07/2024;EN PROGRESO;MEDIA;SOLUCIONAR ERRORES DE USUARIO;Notas tarea 62
Tarea63;Daniel;15/07/2024;PENDIENTE;BAJA;REVISAR INTEGRACIÓN;Notas tarea 63
Tarea64;Daniel;16/07/2024;COMPLETADA;ALTA;OPTIMIZAR INTERFAZ DE USUARIO;Notas tarea 64
Tarea65;Daniel;17/07/2024;PENDIENTE;ALTA;REVISAR CÓDIGO;Notas tarea 65
Tarea66;Daniel;18/07/2024;EN PROGRESO;MEDIA;MEJORAR COMPATIBILIDAD;Notas tarea 66
Tarea67;Daniel;19/07/2024;PENDIENTE;BAJA;PROBAR FUNCIONALIDADES;Notas tarea 67
Tarea68;Daniel;20/07/2024;COMPLETADA;ALTA;AJUSTAR CONFIGURACIONES;Notas tarea 68
Tarea69;Daniel;21/07/2024;PENDIENTE;ALTA;ACTUALIZAR PLUGINS;Notas tarea 69
Tarea70;Daniel;22/07/2024;EN PROGRESO;MEDIA;DESARROLLAR NUEVAS FUNCIONES;Notas tarea 70
Tarea71;Daniel;23/07/2024;PENDIENTE;BAJA;OPTIMIZAR RENDIMIENTO;Notas tarea 71
Tarea72;Daniel;24/07/2024;COMPLETADA;ALTA;SOLUCIONAR BUGS;Notas tarea 72
Tarea73;Daniel;25/07/2024;PENDIENTE;ALTA;DISEÑAR INTERFAZ;Notas tarea 73
Tarea74;Daniel;26/07/2024;EN PROGRESO;MEDIA;TESTEAR NUEVAS FUNCIONALIDADES;Notas tarea 74
Tarea75;Daniel;27/07/2024;PENDIENTE;BAJA;ACTUALIZAR DOCUMENTACIÓN;Notas tarea 75
Tarea76;Daniel;28/07/2024;COMPLETADA;ALTA;OPTIMIZAR CÓDIGO;Notas tarea 76
Tarea77;Daniel;29/07/2024;PENDIENTE;ALTA;SOLUCIONAR CONFLICTOS;Notas tarea 77
Tarea78;Daniel;30/07/2024;EN PROGRESO;MEDIA;REVISAR REQUERIMIENTOS;Notas tarea 78
Tarea79;Daniel;31/07/2024;PENDIENTE;BAJA;MEJORAR EXPERIENCIA DE USUARIO;Notas tarea 79
Tarea80;Daniel;01/08/2024;COMPLETADA;ALTA;IMPLEMENTAR SEGURIDAD;Notas tarea 80
Tarea81;Daniel;02/08/2024;PENDIENTE;ALTA;AJUSTAR ESTILOS;Notas tarea 81
Tarea82;Daniel;03/08/2024;EN PROGRESO;MEDIA;PROBAR COMPATIBILIDAD;Notas tarea 82
Tarea83;Daniel;04/08/2024;PENDIENTE;BAJA;OPTIMIZAR BASE DE DATOS;Notas tarea 83
Tarea84;Daniel;05/08/2024;COMPLETADA;ALTA;SOLUCIONAR ERRORES DE DEPENDECIA;Notas tarea 84
Tarea85;Daniel;06/08/2024;PENDIENTE;ALTA;AGREGAR LOGGING;Notas tarea 85
Tarea86;Daniel;07/08/2024;EN PROGRESO;MEDIA;ANALIZAR RENDIMIENTO;Notas tarea 86
Tarea87;Daniel;08/08/2024;PENDIENTE;BAJA;REVISAR COMPATIBILIDAD;Notas tarea 87
Tarea88;Daniel;09/08/2024;COMPLETADA;ALTA;MEJORAR SEGURIDAD;Notas tarea 88
Tarea89;Daniel;10/08/2024;PENDIENTE;ALTA;ACTUALIZAR PLUGINS;Notas tarea 89
Tarea90;Daniel;11/08/2024;EN PROGRESO;MEDIA;DESARROLLAR NUEVA CARACTERÍSTICA;Notas tarea 90
Tarea91;Daniel;12/08/2024;PENDIENTE;BAJA;OPTIMIZAR USABILIDAD;Notas tarea 91
Tarea92;Daniel;13/08/2024;COMPLETADA;ALTA;RESOLVER CONFLICTOS DE VERSIONES;Notas tarea 92
Tarea93;Daniel;14/08/2024;PENDIENTE;ALTA;REVISAR REQUISITOS;Notas tarea 93
Tarea94;Daniel;15/08/2024;EN PROGRESO;MEDIA;REALIZAR PRUEBAS DE ACEPTACIÓN;Notas tarea 94
Tarea95;Daniel;16/08/2024;PENDIENTE;BAJA;ACTUALIZAR FRAMEWORKS;Notas tarea 95
Tarea96;Daniel;17/08/2024;COMPLETADA;ALTA;OPTIMIZAR ALGORITMOS;Notas tarea 96
Tarea97;Daniel;18/08/2024;PENDIENTE;ALTA;SOLUCIONAR ERRORES CRÍTICOS;Notas tarea 97
Tarea98;Daniel;19/08/2024;EN PROGRESO;MEDIA;REVISAR ARQUITECTURA;Notas tarea 98
Tarea99;Daniel;20/08/2024;PENDIENTE;BAJA;MEJORAR DOCUMENTACIÓN;Notas tarea 99
Tarea100;Daniel;21/08/2024;COMPLETADA;ALTA;IMPLEMENTAR NUEVAS FUNCIONES;Notas tarea 100
